input,output
Phenol,"['Molecular Formula: C₆H₆O', 'Molar Mass: 94.11', 'Boiling Point: 181.7', 'Melting Point: 40.5', 'Water Solubility: 8.3 g/100 mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 1.07', 'Radioactivity: Non-radioactive', 'pH Value: 5.4 (0.1M solution)']"
Phosphoric Acid,"['Molecular Formula: H₃PO₄', 'Molar Mass: 98', 'Boiling Point: 158', 'Melting Point: 42.35', 'Water Solubility: Miscible', 'Biodegradability: N/A (dissociates in water)', 'Flammability: Non-flammable', 'Corrosivity: Highly corrosive', 'Density: 1.88', 'Radioactivity: Non-radioactive', 'pH Value: <1 (concentrated solution)']"
Piperine,"['Molecular Formula: C₁₇H₁₉NO₃', 'Molar Mass: 285.34', 'Boiling Point: Decomposes before boiling', 'Melting Point: 128-130', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.193', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Potassium Carbonate,"['Molecular Formula: K₂CO₃', 'Molar Mass: 138.21', 'Boiling Point: Decomposes before boiling', 'Melting Point: 891', 'Water Solubility: 1100 g/L at 20 °C', 'Biodegradability: N/A (inorganic salt)', 'Flammability: Non-flammable', 'Corrosivity: Corrosive', 'Density: 2.43', 'Radioactivity: Non-radioactive', 'pH Value: 11.5 (5% solution)']"
Potassium Nitrate,"['Molecular Formula: KNO₃', 'Molar Mass: 101.1', 'Boiling Point: Decomposes before boiling', 'Melting Point: 334', 'Water Solubility: 316 g/L at 20 °C', 'Biodegradability: N/A (inorganic salt)', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 2.11', 'Radioactivity: Non-radioactive', 'pH Value: 7 (neutral)']"
Nicotine,"['Molecular Formula: C₁₀H₁₄N₂', 'Molar Mass: 162.23', 'Boiling Point: 247', 'Melting Point: -79', 'Water Solubility: 1 g/100 mL at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Non-corrosive', 'Density: 1.01', 'Radioactivity: Non-radioactive', 'pH Value: 10.2 (in solution)']"
Propane,"['name: Propane', 'molecularFormula: C₃H₈', 'molarMass: 44.1', 'boilingPoint: -42.1', 'meltingPoint: -188', 'waterSolubility: 0.01', 'biodegradability: Readily biodegradable', 'flammability: Highly flammable', 'corrosivity: Non-corrosive', 'density: 2.0098', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Propylene,"['name: Propylene', 'molecularFormula: C₃H₆', 'molarMass: 42.08', 'boilingPoint: -47.6', 'meltingPoint: -185.2', 'waterSolubility: Insoluble', 'biodegradability: Readily biodegradable', 'flammability: Highly flammable', 'corrosivity: Non-corrosive', 'density: 0.493', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Quinine,"['name: Quinine', 'molecularFormula: C₂₀H₂₄N₂O₂', 'molarMass: 324.42', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 177-179', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.18', 'radioactivity: Non-radioactive', 'pHValue: Basic (alkaline)']"
Saccharin,"['name: Saccharin', 'molecularFormula: C₇H₅NO₃S', 'molarMass: 183.18', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 228-229', 'waterSolubility: 1.2', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.8', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Silicon Dioxide (Silica),"['name: Silicon Dioxide (Silica)', 'molecularFormula: SiO₂', 'molarMass: 60.08', 'boilingPoint: 2,950', 'meltingPoint: 1,713', 'waterSolubility: Insoluble', 'biodegradability: Non-biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.65', 'radioactivity: Non-radioactive', 'pHValue: ~7']"
Sodium Bicarbonate,"['name: Sodium Bicarbonate', 'molecularFormula: NaHCO₃', 'molarMass: 84.01', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 50', 'waterSolubility: 9', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.2', 'radioactivity: Non-radioactive', 'pHValue: ~8.3']"
Sodium Carbonate,"['name: Sodium Carbonate', 'molecularFormula: Na₂CO₃', 'molarMass: 105.99', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 851', 'waterSolubility: 22', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.54', 'radioactivity: Non-radioactive', 'pHValue: ~11.6']"
Sodium Chloride,"['name: Sodium Chloride', 'molecularFormula: NaCl', 'molarMass: 58.44', 'boilingPoint: 1,413', 'meltingPoint: 801', 'waterSolubility: 360', 'biodegradability: N/A (inorganic salt)', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 2.165', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sodium Hydroxide,"['name: Sodium Hydroxide', 'molecularFormula: NaOH', 'molarMass: 40.0', 'boilingPoint: 1,388', 'meltingPoint: 318', 'waterSolubility: Miscible', 'biodegradability: N/A (dissociates in water)', 'flammability: Non-flammable', 'corrosivity: Highly corrosive', 'density: 2.13', 'radioactivity: Non-radioactive', 'pHValue: 14']"
Sodium Hypochlorite,"['name: Sodium Hypochlorite', 'molecularFormula: NaClO', 'molarMass: 74.44', 'boilingPoint: Decomposes before boiling', 'meltingPoint: -18', 'waterSolubility: Miscible', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Corrosive', 'density: 1.11', 'radioactivity: Non-radioactive', 'pHValue: 11-13']"
Strychnine,"['name: Strychnine', 'molecularFormula: C₂₁H₂₂N₂O₂', 'molarMass: 334.42', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 274', 'waterSolubility: Slightly soluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Not corrosive', 'density: 1.3', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Styrene,"['name: Styrene', 'molecularFormula: C₈H₈', 'molarMass: 104.15', 'boilingPoint: 145', 'meltingPoint: -30', 'waterSolubility: 0.03', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.909', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sucrose,"['name: Sucrose', 'molecularFormula: C₁₂H₂₂O₁₁', 'molarMass: 342.3', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 186', 'waterSolubility: 2000', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.587', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Sulfuric Acid,"['name: Sulfuric Acid', 'molecularFormula: H₂SO₄', 'molarMass: 98.08', 'boilingPoint: 337', 'meltingPoint: 10', 'waterSolubility: Miscible', 'biodegradability: N/A (dissociates in water)', 'flammability: Non-flammable', 'corrosivity: Highly corrosive', 'density: 1.84', 'radioactivity: Non-radioactive', 'pHValue: <1']"
Tetrafluoroethylene,"['name: Tetrafluoroethylene', 'molecularFormula: C₂F₄', 'molarMass: 100.02', 'boilingPoint: -76.3', 'meltingPoint: -142', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.447', 'radioactivity: Non-radioactive', 'pHValue: Neutral (gas)']"
Tetrahydrocannabinol (THC),"['name: Tetrahydrocannabinol (THC)', 'molecularFormula: C₂₁H₃₀O₂', 'molarMass: 314.46', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 157', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.0', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Thymine,"['name: Thymine', 'molecularFormula: C₅H₆N₂O₂', 'molarMass: 126.11', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 316-317', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.5', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Trinitrotoluene (TNT),"['name: Trinitrotoluene (TNT)', 'molecularFormula: C₇H₅N₃O₆', 'molarMass: 227.13', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 81', 'waterSolubility: Insoluble', 'biodegradability: Not readily biodegradable', 'flammability: Explosive', 'corrosivity: Non-corrosive', 'density: 1.654', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Toluene,"['name: Toluene', 'molecularFormula: C₇H₈', 'molarMass: 92.14', 'boilingPoint: 110.6', 'meltingPoint: -93', 'waterSolubility: 0.52', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.866', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Triuranium Octaoxide,"['name: Triuranium Octaoxide', 'molecularFormula: U₃O₈', 'molarMass: 842.02', 'boilingPoint: N/A (decomposes)', 'meltingPoint: 2075', 'waterSolubility: Insoluble', 'biodegradability: Not biodegradable', 'flammability: Non-flammable', 'corrosivity: Corrosive to some metals', 'density: 8.32', 'radioactivity: Naturally radioactive', 'pHValue: N/A (solid)']"
Uracil,"['name: Uracil', 'molecularFormula: C₄H₄N₂O₂', 'molarMass: 112.09', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 335-338', 'waterSolubility: Slightly soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: ~1.5', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Urea,"['name: Urea', 'molecularFormula: CH₄N₂O', 'molarMass: 60.06', 'boilingPoint: Decomposes before boiling', 'meltingPoint: 133-135', 'waterSolubility: Soluble', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.32', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Vanillin,"['name: Vanillin', 'molecularFormula: C₈H₈O₃', 'molarMass: 152.15', 'boilingPoint: 285', 'meltingPoint: 81-83', 'waterSolubility: ~2 g/100 mL', 'biodegradability: Readily biodegradable', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1.06', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Vinyl Chloride,"['name: Vinyl Chloride', 'molecularFormula: C₂H₃Cl', 'molarMass: 62.5', 'boilingPoint: -13.4', 'meltingPoint: -153.7', 'waterSolubility: 0.25', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.911', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Water,"['name: Water', 'molecularFormula: H₂O', 'molarMass: 18.02', 'boilingPoint: 100', 'meltingPoint: 0', 'waterSolubility: Soluble', 'biodegradability: N/A (does not biodegrade)', 'flammability: Non-flammable', 'corrosivity: Non-corrosive', 'density: 1', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Xylene,"['name: Xylene', 'molecularFormula: C₈H₁₀', 'molarMass: 106.16', 'boilingPoint: 138-144', 'meltingPoint: -47.87', 'waterSolubility: Insoluble', 'biodegradability: Readily biodegradable', 'flammability: Flammable', 'corrosivity: Non-corrosive', 'density: 0.86', 'radioactivity: Non-radioactive', 'pHValue: 7']"
Hydrogen,"['Symbol: H', 'Atomic_Number: 1', 'Atomic_Weight: 1.00794', 'Density: 0.0899', 'Melting_Point: 14.01', 'Boiling_Point: 20.28', 'Phase: Gas', 'Absolute_Melting_Point: 14.01']"
Helium,"['Symbol: He', 'Atomic_Number: 2', 'Atomic_Weight: 4.002602', 'Density: 0.1785', 'Melting_Point: ', 'Boiling_Point: 4.21999999999997', 'Phase: Gas', 'Absolute_Melting_Point: ']"
Lithium,"['Symbol: Li', 'Atomic_Number: 3', 'Atomic_Weight: 6.941', 'Density: 535', 'Melting_Point: 453.69', 'Boiling_Point: 1615.15', 'Phase: Solid', 'Absolute_Melting_Point: 453.69']"
Beryllium,"['Symbol: Be', 'Atomic_Number: 4', 'Atomic_Weight: 9.012182', 'Density: 1848', 'Melting_Point: 1560.15', 'Boiling_Point: 2743.15', 'Phase: Solid', 'Absolute_Melting_Point: 1560']"
Boron,"['Symbol: B', 'Atomic_Number: 5', 'Atomic_Weight: 10.811', 'Density: 2460', 'Melting_Point: 2348.15', 'Boiling_Point: 4273.15', 'Phase: Solid', 'Absolute_Melting_Point: 2348']"
Carbon,"['Symbol: C', 'Atomic_Number: 6', 'Atomic_Weight: 12.0107', 'Density: 2260', 'Melting_Point: 3823.15', 'Boiling_Point: 4300.15', 'Phase: Solid', 'Absolute_Melting_Point: 3823']"
Nitrogen,"['Symbol: N', 'Atomic_Number: 7', 'Atomic_Weight: 14.0067', 'Density: 1.251', 'Melting_Point: 63.05', 'Boiling_Point: 77.36', 'Phase: Gas', 'Absolute_Melting_Point: 63.05']"
Oxygen,"['Symbol: O', 'Atomic_Number: 8', 'Atomic_Weight: 15.9994', 'Density: 1.429', 'Melting_Point: 54.85', 'Boiling_Point: 90.25', 'Phase: Gas', 'Absolute_Melting_Point: 54.8']"
Fluorine,"['Symbol: F', 'Atomic_Number: 9', 'Atomic_Weight: 18.9984032', 'Density: 1.696', 'Melting_Point: 53.55', 'Boiling_Point: 85.03', 'Phase: Gas', 'Absolute_Melting_Point: 53.5']"
Neon,"['Symbol: Ne', 'Atomic_Number: 10', 'Atomic_Weight: 20.1797', 'Density: 0.9', 'Melting_Point: 24.56', 'Boiling_Point: 27.07', 'Phase: Gas', 'Absolute_Melting_Point: 24.56']"
Sodium,"['Symbol: Na', 'Atomic_Number: 11', 'Atomic_Weight: 22.98977', 'Density: 968', 'Melting_Point: 370.87', 'Boiling_Point: 1156.15', 'Phase: Solid', 'Absolute_Melting_Point: 370.87']"
Magnesium,"['Symbol: Mg', 'Atomic_Number: 12', 'Atomic_Weight: 24.305', 'Density: 1738', 'Melting_Point: 923.15', 'Boiling_Point: 1363.15', 'Phase: Solid', 'Absolute_Melting_Point: 923']"
Aluminum,"['Symbol: Al', 'Atomic_Number: 13', 'Atomic_Weight: 26.981538', 'Density: 2700', 'Melting_Point: 933.47', 'Boiling_Point: 2792.15', 'Phase: Solid', 'Absolute_Melting_Point: 933.47']"
Silicon,"['Symbol: Si', 'Atomic_Number: 14', 'Atomic_Weight: 28.0855', 'Density: 2330', 'Melting_Point: 1687.15', 'Boiling_Point: 3173.15', 'Phase: Solid', 'Absolute_Melting_Point: 1687']"
Phosphorus,"['Symbol: P', 'Atomic_Number: 15', 'Atomic_Weight: 30.973761', 'Density: 1823', 'Melting_Point: 317.35', 'Boiling_Point: 553.65', 'Phase: Solid', 'Absolute_Melting_Point: 317.3']"
Sulfur,"['Symbol: S', 'Atomic_Number: 16', 'Atomic_Weight: 32.065', 'Density: 1960', 'Melting_Point: 388.36', 'Boiling_Point: 717.87', 'Phase: Solid', 'Absolute_Melting_Point: 388.36']"
Chlorine,"['Symbol: Cl', 'Atomic_Number: 17', 'Atomic_Weight: 35.453', 'Density: 3.214', 'Melting_Point: 171.65', 'Boiling_Point: 239.11', 'Phase: Gas', 'Absolute_Melting_Point: 171.6']"
Argon,"['Symbol: Ar', 'Atomic_Number: 18', 'Atomic_Weight: 39.948', 'Density: 1.784', 'Melting_Point: 83.85', 'Boiling_Point: 87.35', 'Phase: Gas', 'Absolute_Melting_Point: 83.8']"
Potassium,"['Symbol: K', 'Atomic_Number: 19', 'Atomic_Weight: 39.0983', 'Density: 856', 'Melting_Point: 336.53', 'Boiling_Point: 1032.15', 'Phase: Solid', 'Absolute_Melting_Point: 336.53']"
Calcium,"['Symbol: Ca', 'Atomic_Number: 20', 'Atomic_Weight: 40.078', 'Density: 1550', 'Melting_Point: 1115.15', 'Boiling_Point: 1757.15', 'Phase: Solid', 'Absolute_Melting_Point: 1115']"
Scandium,"['Symbol: Sc', 'Atomic_Number: 21', 'Atomic_Weight: 44.95591', 'Density: 2985', 'Melting_Point: 1814.15', 'Boiling_Point: 3103.15', 'Phase: Solid', 'Absolute_Melting_Point: 1814']"
Titanium,"['Symbol: Ti', 'Atomic_Number: 22', 'Atomic_Weight: 47.867', 'Density: 4507', 'Melting_Point: 1941.15', 'Boiling_Point: 3560.15', 'Phase: Solid', 'Absolute_Melting_Point: 1941']"
Vanadium,"['Symbol: V', 'Atomic_Number: 23', 'Atomic_Weight: 50.9415', 'Density: 6110', 'Melting_Point: 2183.15', 'Boiling_Point: 3680.15', 'Phase: Solid', 'Absolute_Melting_Point: 2183']"
Chromium,"['Symbol: Cr', 'Atomic_Number: 24', 'Atomic_Weight: 51.9961', 'Density: 7140', 'Melting_Point: 2180.15', 'Boiling_Point: 2944.15', 'Phase: Solid', 'Absolute_Melting_Point: 2180']"
Manganese,"['Symbol: Mn', 'Atomic_Number: 25', 'Atomic_Weight: 54.938049', 'Density: 7470', 'Melting_Point: 1519.15', 'Boiling_Point: 2334.15', 'Phase: Solid', 'Absolute_Melting_Point: 1519']"
Iron,"['Symbol: Fe', 'Atomic_Number: 26', 'Atomic_Weight: 55.845', 'Density: 7874', 'Melting_Point: 1811.15', 'Boiling_Point: 3134.15', 'Phase: Solid', 'Absolute_Melting_Point: 1811']"
Cobalt,"['Symbol: Co', 'Atomic_Number: 27', 'Atomic_Weight: 58.9332', 'Density: 8900', 'Melting_Point: 1768.15', 'Boiling_Point: 3200.15', 'Phase: Solid', 'Absolute_Melting_Point: 1768']"
Nickel,"['Symbol: Ni', 'Atomic_Number: 28', 'Atomic_Weight: 58.6934', 'Density: 8908', 'Melting_Point: 1728.15', 'Boiling_Point: 3186.15', 'Phase: Solid', 'Absolute_Melting_Point: 1728']"
Copper,"['Symbol: Cu', 'Atomic_Number: 29', 'Atomic_Weight: 63.546', 'Density: 8920', 'Melting_Point: 1357.77', 'Boiling_Point: 3200.15', 'Phase: Solid', 'Absolute_Melting_Point: 1357.77']"
Zinc,"['Symbol: Zn', 'Atomic_Number: 30', 'Atomic_Weight: 65.409', 'Density: 7140', 'Melting_Point: 692.68', 'Boiling_Point: 1180.15', 'Phase: Solid', 'Absolute_Melting_Point: 692.68']"
Gallium,"['Symbol: Ga', 'Atomic_Number: 31', 'Atomic_Weight: 69.723', 'Density: 5904', 'Melting_Point: 302.91', 'Boiling_Point: 2477.15', 'Phase: Solid', 'Absolute_Melting_Point: 302.91']"
Germanium,"['Symbol: Ge', 'Atomic_Number: 32', 'Atomic_Weight: 72.64', 'Density: 5323', 'Melting_Point: 1211.45', 'Boiling_Point: 3093.15', 'Phase: Solid', 'Absolute_Melting_Point: 1211.4']"
Arsenic,"['Symbol: As', 'Atomic_Number: 33', 'Atomic_Weight: 74.9216', 'Density: 5727', 'Melting_Point: 1090.15', 'Boiling_Point: 887.15', 'Phase: Solid', 'Absolute_Melting_Point: 1090']"
Selenium,"['Symbol: Se', 'Atomic_Number: 34', 'Atomic_Weight: 78.96', 'Density: 4819', 'Melting_Point: 494.15', 'Boiling_Point: 958.15', 'Phase: Solid', 'Absolute_Melting_Point: 494']"
Bromine,"['Symbol: Br', 'Atomic_Number: 35', 'Atomic_Weight: 79.904', 'Density: 3120', 'Melting_Point: 265.85', 'Boiling_Point: 332.15', 'Phase: Liquid', 'Absolute_Melting_Point: 265.8']"
Krypton,"['Symbol: Kr', 'Atomic_Number: 36', 'Atomic_Weight: 83.798', 'Density: 3.75', 'Melting_Point: 115.79', 'Boiling_Point: 119.93', 'Phase: Gas', 'Absolute_Melting_Point: 115.79']"
Rubidium,"['Symbol: Rb', 'Atomic_Number: 37', 'Atomic_Weight: 85.4678', 'Density: 1532', 'Melting_Point: 312.46', 'Boiling_Point: 961.15', 'Phase: Solid', 'Absolute_Melting_Point: 312.46']"
Strontium,"['Symbol: Sr', 'Atomic_Number: 38', 'Atomic_Weight: 87.62', 'Density: 2630', 'Melting_Point: 1050.15', 'Boiling_Point: 1655.15', 'Phase: Solid', 'Absolute_Melting_Point: 1050']"
Yttrium,"['Symbol: Y', 'Atomic_Number: 39', 'Atomic_Weight: 88.90585', 'Density: 4472', 'Melting_Point: 1799.15', 'Boiling_Point: 3618.15', 'Phase: Solid', 'Absolute_Melting_Point: 1799']"
Zirconium,"['Symbol: Zr', 'Atomic_Number: 40', 'Atomic_Weight: 91.224', 'Density: 6511', 'Melting_Point: 2128.15', 'Boiling_Point: 4682.15', 'Phase: Solid', 'Absolute_Melting_Point: 2128']"
Niobium,"['Symbol: Nb', 'Atomic_Number: 41', 'Atomic_Weight: 92.90638', 'Density: 8570', 'Melting_Point: 2750.15', 'Boiling_Point: 5017.15', 'Phase: Solid', 'Absolute_Melting_Point: 2750']"
Molybdenum,"['Symbol: Mo', 'Atomic_Number: 42', 'Atomic_Weight: 95.94', 'Density: 10280', 'Melting_Point: 2896.15', 'Boiling_Point: 4912.15', 'Phase: Solid', 'Absolute_Melting_Point: 2896']"
